order_id,order_date,status,total_amount,customer_id
1,2024-11-26,Delivered,996.95,111
2,2025-09-03,Cancelled,4505.29,685
3,2024-11-06,Pending,1400.73,627
4,2024-11-22,Cancelled,2591.52,32
5,2024-12-20,Pending,1804.08,633
6,2024-10-22,Cancelled,1785.81,945
7,2025-02-15,Cancelled,2561.06,871
8,2025-05-10,Pending,1328.31,457
9,2024-11-27,Delivered,3627.67,587
10,2024-10-11,Pending,1988.49,791
11,2025-06-03,Delivered,4426.29,572
12,2024-11-05,Delivered,1556.71,938
13,2025-07-28,Delivered,846.8,935
14,2025-09-20,Delivered,4831.36,933
15,2025-05-29,Delivered,4679.93,91
16,2024-10-13,Delivered,1096.21,767
17,2025-06-09,Delivered,3461.73,760
18,2024-11-11,Cancelled,2871.33,565
19,2025-08-02,Cancelled,4194.48,302
20,2025-04-03,Pending,4237.71,597
21,2025-08-27,Delivered,3159,521
22,2024-12-08,Delivered,1187.2,687
23,2025-08-17,Cancelled,2302.32,886
24,2025-08-21,Delivered,4238.85,670
25,2025-01-17,Delivered,3843.58,192
26,2025-08-31,Delivered,4624.57,489
27,2024-10-29,Cancelled,4967.17,767
28,2025-01-17,Cancelled,1074.89,148
29,2025-03-15,Pending,1905.57,673
30,2024-10-13,Cancelled,1292.47,779
31,2025-02-12,Pending,2468.82,829
32,2025-02-22,Pending,2076.02,714
33,2025-02-13,Pending,4673.52,762
34,2025-02-01,Cancelled,971.53,530
35,2025-02-15,Delivered,3542.27,636
36,2025-08-04,Delivered,4774.32,328
37,2025-02-16,Cancelled,1404.54,905
38,2024-11-25,Cancelled,2982.29,700
39,2025-06-29,Cancelled,1107.65,981
40,2025-02-18,Cancelled,435.79,144
41,2025-02-26,Delivered,3847.13,590
42,2025-04-15,Cancelled,4124.83,341
43,2025-03-15,Pending,1713.09,57
44,2025-02-01,Pending,1845.01,648
45,2024-12-16,Cancelled,3170.17,277
46,2025-06-18,Delivered,4066.53,609
47,2024-11-13,Cancelled,4051.91,724
48,2025-06-05,Cancelled,945.83,137
49,2025-04-02,Cancelled,2965.95,440
50,2025-02-28,Pending,1049.24,529
51,2024-10-14,Delivered,4564.01,949
52,2025-02-10,Delivered,4808.2,785
53,2025-01-18,Delivered,272.76,303
54,2025-04-21,Pending,1763.54,635
55,2025-04-13,Delivered,1216.39,792
56,2025-08-16,Pending,1412.46,872
57,2025-03-14,Pending,2678.88,590
58,2024-10-05,Cancelled,1410.21,345
59,2024-10-10,Delivered,1407.56,390
60,2025-04-17,Pending,3504.3,103
61,2025-01-13,Cancelled,1160.79,265
62,2025-05-16,Pending,4504.19,758
63,2025-04-08,Cancelled,3121.87,908
64,2025-05-29,Pending,424.87,310
65,2025-04-08,Delivered,1551.73,824
66,2025-05-19,Pending,877.95,865
67,2025-06-07,Pending,3079.71,382
68,2025-09-19,Delivered,2267.34,565
69,2025-06-08,Pending,4711.27,509
70,2025-08-15,Pending,3435.08,374
71,2024-11-30,Cancelled,4350.45,588
72,2025-07-23,Delivered,1887.63,917
73,2025-09-18,Delivered,3837.26,599
74,2025-01-24,Cancelled,1358.89,585
75,2025-04-23,Cancelled,1299.69,612
76,2025-03-27,Delivered,4802.75,987
77,2025-07-21,Delivered,1998.3,768
78,2024-10-03,Delivered,3559.23,802
79,2024-11-05,Delivered,4456.57,184
80,2025-08-25,Delivered,3456.27,678
81,2025-03-15,Delivered,3242.68,937
82,2025-05-17,Cancelled,3626,219
83,2024-09-29,Delivered,1335.71,8
84,2025-06-22,Delivered,499.98,41
85,2025-02-01,Cancelled,4957.63,578
86,2024-12-29,Cancelled,416.17,219
87,2025-04-22,Delivered,570.4,419
88,2024-10-27,Pending,859.73,922
89,2024-12-02,Delivered,3586.5,117
90,2025-08-12,Cancelled,3771.6,402
91,2025-02-09,Delivered,4097.74,422
92,2025-07-04,Pending,821.08,802
93,2025-04-04,Pending,2226.22,605
94,2025-03-25,Pending,140.33,854
95,2025-09-27,Pending,1249.82,507
96,2025-04-02,Pending,2166.15,381
97,2025-01-28,Cancelled,1108.6,506
98,2025-02-02,Cancelled,1222.88,694
99,2024-12-13,Cancelled,3640.97,156
100,2025-07-23,Pending,4215.21,193
101,2025-09-05,Cancelled,862.43,295
102,2025-02-16,Cancelled,4972.7,965
103,2025-08-23,Pending,4861.92,636
104,2024-11-30,Pending,652.15,986
105,2025-08-13,Cancelled,204.51,338
106,2024-12-12,Pending,3538.21,137
107,2025-01-29,Cancelled,538.92,273
108,2025-09-10,Cancelled,4390.04,543
109,2025-03-09,Delivered,4269.92,513
110,2025-04-29,Cancelled,2530.16,337
111,2025-05-21,Cancelled,3757.67,160
112,2024-10-28,Cancelled,1135.9,271
113,2025-02-20,Delivered,890.84,828
114,2025-03-31,Pending,1399.54,105
115,2025-01-24,Delivered,722.53,5
116,2025-05-30,Pending,1458.49,224
117,2025-05-29,Delivered,1660.93,880
118,2024-10-18,Delivered,2284.24,107
119,2025-01-27,Delivered,2525.3,616
120,2025-07-17,Pending,4465.83,758
121,2025-03-04,Delivered,1482.07,815
122,2025-07-06,Pending,3245,371
123,2024-12-26,Delivered,2010.05,538
124,2024-11-18,Cancelled,324.7,279
125,2025-08-22,Delivered,3789,684
126,2025-06-01,Delivered,3094.7,339
127,2025-04-23,Delivered,1201.08,24
128,2024-12-18,Cancelled,2092.27,123
129,2025-03-29,Pending,164.27,693
130,2025-03-20,Cancelled,4187.17,25
131,2025-06-29,Delivered,4035.5,93
132,2025-09-08,Pending,4059.11,370
133,2025-01-12,Pending,4429.49,54
134,2024-10-10,Pending,3440.04,562
135,2025-08-19,Cancelled,383.4,198
136,2024-12-28,Delivered,1085.67,335
137,2025-03-02,Cancelled,144.23,728
138,2025-02-13,Cancelled,4078.38,336
139,2025-04-24,Pending,2036.54,953
140,2025-01-25,Pending,167.23,168
141,2025-01-05,Cancelled,529.84,884
142,2024-11-29,Pending,3083.4,104
143,2024-10-12,Delivered,2039.73,435
144,2024-10-16,Cancelled,4109.85,385
145,2025-05-16,Cancelled,3987.18,17
146,2025-02-12,Pending,1871.17,489
147,2024-12-12,Delivered,2131.72,211
148,2025-08-14,Cancelled,2428.38,113
149,2025-01-04,Delivered,1596.5,342
150,2025-08-01,Delivered,3186.44,714
151,2025-08-18,Cancelled,749.27,947
152,2025-03-01,Pending,2644.57,703
153,2025-06-20,Cancelled,4758.24,645
154,2024-11-03,Cancelled,2835.61,756
155,2025-06-20,Delivered,4551.15,609
156,2024-11-20,Cancelled,4113.69,710
157,2024-11-03,Delivered,1285.89,220
158,2024-11-27,Cancelled,2538.07,818
159,2025-05-03,Pending,1111,927
160,2025-09-18,Cancelled,2580.98,594
161,2025-09-15,Delivered,2356.45,32
162,2024-11-19,Pending,2821.14,297
163,2024-12-16,Delivered,907.69,937
164,2025-04-14,Pending,3749.42,200
165,2025-07-29,Delivered,3824.32,743
166,2025-05-09,Delivered,3538.39,109
167,2025-03-28,Pending,4744.64,752
168,2025-06-23,Cancelled,2184.7,286
169,2024-10-27,Pending,3940.17,72
170,2025-05-29,Delivered,437,680
171,2025-06-22,Cancelled,117.28,667
172,2025-08-29,Cancelled,3146.96,971
173,2025-08-18,Delivered,2678.88,216
174,2025-07-15,Cancelled,3323.25,893
175,2025-09-04,Pending,862.77,69
176,2024-12-25,Cancelled,3311.1,968
177,2024-10-16,Pending,1871.02,799
178,2025-07-24,Pending,3194.22,814
179,2025-07-30,Cancelled,1385.78,819
