payment_id,payment_date,amount_paid,method,status,order_id
1,2025-08-08,1897.62,Credit Card,Failed,168
2,2024-12-15,556.31,Debit Card,Completed,2600
3,2025-09-16,2053.9,Debit Card,Completed,1877
4,2025-09-13,4183.32,Debit Card,Failed,1965
5,2025-05-13,1587.08,PayPal,Completed,1296
6,2025-01-27,229.91,Credit Card,Completed,2176
7,2025-04-08,1455.18,PayPal,Pending,2989
8,2025-03-01,866.61,Cash,Completed,840
9,2025-09-13,1652.38,Debit Card,Pending,450
10,2025-05-11,4118.15,Credit Card,Failed,201
11,2024-10-10,3794.87,Cash,Failed,1522
12,2025-07-08,241.03,Credit Card,Failed,279
13,2025-09-27,2277.46,PayPal,Failed,616
14,2025-06-06,1475.86,Debit Card,Completed,2973
15,2024-11-18,162.73,PayPal,Pending,2093
16,2025-06-14,544.83,Debit Card,Completed,2162
17,2025-03-07,292.9,Cash,Failed,2462
18,2024-11-23,3703.34,Cash,Pending,442
19,2024-09-30,4251.27,Credit Card,Pending,129
20,2024-10-20,2657.77,Debit Card,Failed,2709
21,2025-05-29,3615.86,Credit Card,Failed,474
22,2024-12-27,426.73,Debit Card,Completed,2039
23,2025-01-10,4468.37,Credit Card,Failed,215
24,2025-08-13,4160.43,Cash,Failed,1423
25,2025-05-27,4315.76,Credit Card,Pending,1355
26,2025-08-08,1636.88,Credit Card,Completed,1267
27,2025-06-16,4155.56,Debit Card,Completed,1061
28,2025-08-11,3027.29,Debit Card,Completed,1310
29,2025-02-15,1646.21,Cash,Pending,2670
30,2025-04-06,4637.46,PayPal,Pending,1186
31,2025-01-13,269.59,Credit Card,Completed,120
32,2025-06-22,1239.89,Cash,Pending,2603
33,2025-08-17,4978.05,Debit Card,Pending,777
34,2025-09-17,2786.27,PayPal,Failed,976
35,2025-01-13,4493.26,Cash,Failed,2676
36,2024-10-23,1372.59,PayPal,Completed,2445
37,2024-12-19,1763.62,Debit Card,Completed,2664
38,2024-10-06,3210.82,Credit Card,Pending,2248
39,2025-05-18,2411.37,PayPal,Completed,2849
40,2025-09-25,3047.64,PayPal,Pending,2999
41,2025-01-07,2099.78,Debit Card,Pending,2170
42,2025-07-05,1517.95,PayPal,Pending,261
43,2025-07-17,2397.49,Cash,Failed,670
44,2025-02-13,2066.5,Cash,Failed,2131
45,2024-10-13,4209.67,Credit Card,Completed,261
46,2025-03-18,1741.18,Credit Card,Failed,1618
