product_id,product_name,description,price,stock_quantity,category_id
1,Fill Return,I indeed beautiful.,2043.8,124,8
2,Generation Also,Heavy less explain establish free modern might.,554.55,93,2
3,During Thousand,Someone since personal score word.,1997.52,300,1
4,Ability Manage,Stage change large improve usually all talk.,607.95,427,5
5,Man Difficult,Record year some move strong risk heart.,2138.74,92,4
6,Art Dog,Necessary agree social message say.,983.58,367,1
7,Feeling Moment,Between father person trial.,1171.09,20,19
8,Skin Ok,Home line matter remember cell.,1477.44,474,6
9,Effect Power,Glass election lay if so.,2350.73,16,6
10,Scene Born,Machine unit pay stand value range.,1967.32,170,14
11,Debate Person,Understand newspaper stock.,114.33,246,20
12,Program Watch,Ok memory use image clearly economic.,1610.7,314,11
13,Hair Bar,Second prevent quality they catch.,2525.46,365,15
14,Finish Thousand,World nice under sell serious.,1474.07,221,13
15,Whether Central,Production artist score.,1080.47,374,16
16,Every Light,Kind air much reveal center dream above.,2846.98,266,13
17,Check Arm,Score health while positive weight run develop.,590.48,256,19
18,Man Open,Audience base however age.,2466.88,366,4
19,Time Generation,Find source some spend think debate career major.,2554.81,283,16
20,Family Politics,Fly box include present.,2041.97,160,16
21,Institution Although,Despite society record ten sea Mr.,1914.98,51,7
22,Into Become,Word power cultural too I opportunity voice.,1549.76,178,18
23,Religious Region,Develop rather campaign single realize.,162.13,493,10
24,Figure Film,Science race various place best major.,1920.01,415,4
25,Agency Health,Concern admit into understand action idea eight.,531.28,321,7
26,Into Dream,Six answer nothing leader land different.,2291.56,27,11
27,Put Use,Environmental red region herself in.,1778.61,268,20
28,Important Third,Feeling place amount.,2909.19,308,10
29,Which Change,Movement practice he hospital range.,2252.34,279,9
30,Late Place,Home before road.,1742.61,334,18
31,Radio Begin,Approach culture trip actually.,543.07,135,15
32,Leg Dog,Usually worry product consumer.,893.47,199,20
33,Ok Against,Notice sometimes ability kind.,2671.86,72,10
34,Trouble By,Summer kind check.,1961.05,268,14
35,With Future,Letter sure such next radio everyone institution interest.,1572.69,488,14
36,Health Rich,Already religious order strong heart mouth establish.,2093.37,65,7
37,Force Machine,Kind camera interview individual two democratic.,2560.4,451,2
38,Sure Ask,Ability list cost run improve.,2685.99,287,1
39,Research Design,Like face account drop benefit necessary.,2917.5,377,11
40,End Bank,Through product matter.,1437.48,91,12
41,Send City,Production prove just policy relationship wide throughout artist.,2826.56,306,14
42,Quality Interesting,Support current safe.,2148.2,307,7
43,Information About,Boy company look figure material.,1763.55,488,16
44,Writer Listen,Far phone find short though area.,89.81,77,1
45,Measure Anyone,Become listen prove machine put final.,65.02,441,11
46,Toward Protect,Investment gas law ever take a until.,227.19,40,2
47,Reason Tonight,Threat support identify begin.,2630.8,95,11
48,Suffer Reveal,There risk several make huge executive ten especially.,276.94,232,16
49,That Fly,Performance big cause rise former about.,376.85,188,8
50,All Ten,Ok little any apply whole young father tonight.,920.71,213,4
51,Six Second,Summer so democratic arm quite mother people.,1812.84,22,10
52,Day Trade,Before thus team key cause interest individual.,477.93,316,3
53,Chair Arm,Above almost third seat believe.,1324.8,311,12
54,Opportunity Traditional,Determine song first work top when.,656.95,99,19
55,Party Assume,Under over stage executive his property left.,578.62,38,15
