shipping_id,shipping_date,delivery_date,status,order_id,address_id
1,2025-05-12,,Pending,98,1003
2,2025-02-08,,Cancelled,528,1007
3,2025-09-27,2025-09-30,Delivered,983,61
4,2025-06-13,2025-06-17,Delivered,2151,1417
5,2024-10-01,,Cancelled,2701,283
6,2025-06-21,2025-06-29,Delivered,544,353
7,2025-01-14,2025-01-21,Delivered,272,355
8,2025-08-29,,Cancelled,854,1081
9,2024-12-16,2024-12-22,Delivered,2294,333
10,2025-05-17,,Pending,775,1250
11,2024-09-28,2024-10-01,Delivered,2076,851
12,2024-11-03,,Cancelled,2374,1384
13,2025-01-29,,Cancelled,1310,42
14,2025-07-05,,Pending,1744,830
15,2025-02-25,2025-03-01,Delivered,137,263
16,2025-09-13,2025-09-16,Delivered,1542,919
17,2024-11-29,,Cancelled,2585,766
18,2025-01-26,2025-02-03,Delivered,1647,690
19,2025-06-20,2025-06-28,Delivered,1885,1022
20,2025-06-21,2025-06-30,Delivered,90,1254
21,2025-04-22,2025-04-27,Delivered,2746,985
22,2025-06-18,2025-06-28,Delivered,1823,945
23,2025-09-12,2025-09-18,Delivered,1016,463
24,2025-03-30,2025-04-09,Delivered,2506,309
25,2025-03-30,2025-04-05,Delivered,1160,1051
26,2024-11-14,,Cancelled,1695,685
27,2025-04-17,,Cancelled,444,360
28,2025-07-01,,Cancelled,1732,1335
29,2025-04-01,2025-04-08,Delivered,2686,207
30,2025-08-16,,Cancelled,709,1207
31,2025-05-06,,Cancelled,1800,625
32,2025-09-22,,Pending,366,630
33,2025-05-10,2025-05-13,Delivered,1515,798
34,2025-09-14,,Cancelled,588,619
35,2025-09-06,,Cancelled,801,1487
36,2025-01-14,2025-01-20,Delivered,1225,33
37,2025-07-04,2025-07-09,Delivered,2641,910
38,2025-01-19,,Pending,997,242
39,2025-08-10,2025-08-13,Delivered,422,778
40,2024-12-08,2024-12-11,Delivered,90,537
41,2025-04-09,2025-04-16,Delivered,1497,577
42,2025-01-01,,Pending,1284,936
43,2024-10-16,,Pending,2506,147
44,2025-09-23,2025-09-30,Delivered,237,685
45,2024-11-29,2024-12-06,Delivered,815,1201
46,2025-08-19,,Cancelled,2697,199
47,2024-10-25,,Pending,894,882
48,2025-01-14,,Pending,1024,804
49,2025-01-24,2025-01-27,Delivered,24,800
50,2025-08-20,,Cancelled,2759,488
51,2025-06-27,,Cancelled,155,838
52,2025-08-13,2025-08-19,Delivered,1176,925
53,2024-10-11,2024-10-16,Delivered,2577,499
54,2025-05-30,,Cancelled,529,403
55,2025-05-29,2025-06-07,Delivered,221,514
56,2025-06-26,2025-07-06,Delivered,2220,1408
57,2025-09-09,,Cancelled,1245,1256
58,2025-01-21,,Cancelled,2159,207
59,2025-05-23,,Pending,2997,704
60,2025-05-15,,Cancelled,1952,497
61,2024-12-17,2024-12-25,Delivered,1678,686
62,2024-11-05,2024-11-12,Delivered,498,829
63,2025-07-17,,Pending,349,1487
64,2025-08-01,2025-08-08,Delivered,2019,1437
65,2024-12-07,,Pending,1364,342
66,2025-06-17,2025-06-26,Delivered,1276,1091
67,2025-09-19,2025-09-28,Delivered,1127,1205
68,2025-05-10,2025-05-14,Delivered,2220,1024
69,2024-10-18,2024-10-28,Delivered,775,124
70,2025-09-16,2025-09-26,Delivered,2905,44
71,2025-08-30,2025-09-02,Delivered,2530,796
72,2025-05-28,2025-06-02,Delivered,2662,938
73,2025-05-27,,Cancelled,863,1265
74,2024-11-11,2024-11-16,Delivered,2958,1301
75,2025-02-27,,Pending,2608,84
76,2025-09-22,2025-09-30,Delivered,395,734
77,2025-07-13,,Pending,2396,1067
78,2025-07-08,2025-07-18,Delivered,2908,511
79,2025-06-12,2025-06-20,Delivered,2633,650
80,2025-01-07,2025-01-13,Delivered,2315,716
81,2025-07-15,2025-07-25,Delivered,2250,741
82,2025-07-27,,Pending,194,726
83,2025-04-04,2025-04-06,Delivered,2083,203
84,2025-02-16,2025-02-18,Delivered,2917,376
85,2024-11-23,,Cancelled,1809,585
86,2025-01-01,,Cancelled,1579,252
87,2024-12-17,2024-12-27,Delivered,2757,1417
88,2024-12-27,,Cancelled,273,374
89,2025-05-24,,Cancelled,375,792
90,2025-06-30,,Pending,1544,339
91,2025-06-10,2025-06-18,Delivered,2712,296
92,2025-02-25,2025-03-03,Delivered,1000,1019
93,2025-02-15,2025-02-17,Delivered,1884,1034
94,2025-04-18,2025-04-25,Delivered,2467,116
95,2024-10-01,2024-10-10,Delivered,1196,135
96,2025-09-01,,Pending,1332,752
97,2025-08-13,2025-08-16,Delivered,2365,1450
98,2025-06-12,,Pending,2525,805
99,2025-01-21,,Cancelled,554,439
100,2025-05-24,2025-06-03,Delivered,2078,174
101,2025-03-24,2025-04-03,Delivered,1719,548
102,2025-02-13,,Cancelled,1474,612
103,2025-02-10,2025-02-17,Delivered,2952,76
104,2025-01-16,2025-01-26,Delivered,883,705
105,2025-01-30,,Cancelled,2558,1020
106,2025-05-10,2025-05-12,Delivered,2202,688
107,2025-05-16,2025-05-24,Delivered,2930,1182
108,2025-03-01,,Pending,1461,1055
109,2025-09-28,,Pending,845,11
110,2025-05-08,,Cancelled,970,529
111,2024-10-18,2024-10-24,Delivered,1143,379
112,2024-11-28,2024-12-06,Delivered,2985,1208
113,2025-01-28,2025-02-04,Delivered,2808,4
114,2025-02-21,,Pending,534,757
115,2025-06-21,,Pending,920,1463
116,2025-04-11,,Pending,1749,1230
117,2025-02-21,2025-02-23,Delivered,648,397
118,2025-05-30,,Pending,2448,182
119,2025-07-15,2025-07-17,Delivered,240,1213
120,2025-01-16,2025-01-26,Delivered,939,395
121,2025-01-21,,Pending,586,1148
122,2024-12-19,,Pending,532,1226
123,2025-03-14,,Pending,2602,852
124,2025-05-26,,Cancelled,92,1023
125,2025-03-21,,Cancelled,2198,604
126,2024-12-16,,Pending,2351,1467
127,2024-11-29,,Cancelled,1961,111
128,2024-11-27,,Pending,1411,237
129,2024-10-23,2024-10-31,Delivered,1934,250
130,2024-12-18,2024-12-26,Delivered,2661,494
131,2024-11-01,2024-11-05,Delivered,1726,1130
132,2025-01-04,2025-01-06,Delivered,2595,846
133,2025-03-21,,Cancelled,2652,1193
134,2024-11-23,2024-11-28,Delivered,1475,1149
135,2025-08-12,,Cancelled,2853,851
136,2025-06-27,2025-07-04,Delivered,153,505
137,2024-11-19,,Cancelled,2161,377
138,2025-01-03,,Cancelled,2632,1010
